         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.022    0.011   23.959   11.979 main.py:1(<module>)
    286/1    0.039    0.000   23.958   23.958 {built-in method exec}
        1    0.000    0.000   22.269   22.269 main.py:167(run)
        1    0.229    0.229   22.269   22.269 GUI.py:572(run)
      662   14.477    0.022   14.477    0.022 {method 'tick' of 'Clock' objects}
    82991    0.102    0.000    3.831    0.000 latebind.py:59(__call__)
     7536    0.053    0.000    3.605    0.000 GUI.py:225(draw)
    80266    0.289    0.000    3.485    0.000 GL_2_0.py:399(glVertexAttribPointer)
83172/83166    0.183    0.000    2.543    0.000 latebind.py:33(__call__)
     8792    0.557    0.000    2.535    0.000 GUI.py:98(draw)
    82985    1.048    0.000    2.339    0.000 wrapper.py:673(wrapperCall)
     8792    0.356    0.000    1.596    0.000 GUI.py:148(draw)
      662    1.105    0.002    1.105    0.002 {built-in method flip}
      662    0.082    0.000    1.020    0.002 GUI.py:469(updateGridBuffers)
        1    0.000    0.000    0.971    0.971 main.py:132(__init__)
      662    0.224    0.000    0.791    0.001 GUI.py:499(drawGrid)
        1    0.001    0.001    0.701    0.701 GUI.py:231(__init__)
        1    0.012    0.012    0.693    0.693 GUI.py:1(<module>)
      628    0.010    0.000    0.597    0.001 GUI.py:212(drawVillageUI)
     1256    0.008    0.000    0.587    0.000 GUI.py:179(draw)
     1533    0.585    0.000    0.585    0.000 {built-in method array}
    80266    0.283    0.000    0.533    0.000 contextdata.py:44(setValue)
   575966    0.383    0.000    0.528    0.000 wrapper.py:453(calculate_cArgs)
       14    0.054    0.004    0.519    0.037 __init__.py:1(<module>)
   575982    0.273    0.000    0.508    0.000 wrapper.py:420(calculate_pyArgs)
   166135    0.187    0.000    0.364    0.000 arraydatatype.py:147(asArray)
        1    0.000    0.000    0.326    0.326 GUI.py:273(init)
        1    0.201    0.201    0.325    0.325 {built-in method set_mode}
   355111    0.319    0.000    0.319    0.000 error.py:206(glCheckError)
    81705    0.108    0.000    0.306    0.000 arraydatatype.py:135(voidDataPointer)
        1    0.305    0.305    0.305    0.305 {built-in method quit}
   333771    0.224    0.000    0.277    0.000 arraydatatype.py:29(__call__)
        1    0.001    0.001    0.267    0.267 main.py:91(__init__)
      324    0.075    0.000    0.253    0.001 main.py:100(<listcomp>)
        1    0.026    0.026    0.247    0.247 __init__.py:25(<module>)
     2719    0.015    0.000    0.238    0.000 GL_1_5.py:67(glBufferData)
    82985    0.056    0.000    0.221    0.000 converters.py:133(__call__)
        1    0.003    0.003    0.213    0.213 surfarray.py:61(<module>)
        1    0.002    0.002    0.208    0.208 _numpysurfarray.py:45(<module>)
        1    0.007    0.007    0.206    0.206 __init__.py:106(<module>)
        1    0.202    0.202    0.202    0.202 {built-in method init}
    81707    0.082    0.000    0.198    0.000 arraydatatype.py:125(dataPointer)
   104652    0.096    0.000    0.178    0.000 main.py:171(inCircle)
    83156    0.095    0.000    0.166    0.000 arraydatatype.py:121(from_param)
      663    0.127    0.000    0.127    0.000 {built-in method get}
        1    0.008    0.008    0.124    0.124 pkgdata.py:18(<module>)
        1    0.012    0.012    0.115    0.115 pkg_resources.py:15(<module>)
    80266    0.115    0.000    0.115    0.000 contextdata.py:31(getContext)
   409660    0.111    0.000    0.111    0.000 converters.py:149(__call__)
84033/83937    0.101    0.000    0.103    0.000 {built-in method getattr}
        1    0.000    0.000    0.103    0.103 add_newdocs.py:10(<module>)
   494696    0.087    0.000    0.087    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.084    0.084 GUI.py:281(shaders)
        2    0.000    0.000    0.080    0.040 shaders.py:201(compileShader)
   210018    0.071    0.000    0.071    0.000 {built-in method pow}
        1    0.001    0.001    0.069    0.069 parser.py:5(<module>)
        1    0.001    0.001    0.069    0.069 feedparser.py:20(<module>)
       13    0.000    0.000    0.067    0.005 GUI.py:221(__init__)
        1    0.003    0.003    0.066    0.066 message.py:5(<module>)
